,id,sha,source,title,doi,pmcid,pubmed_id,license,summary,published,author,journal,Microsoft Academic Paper ID,WHO #Covidence,arxiv_id,has_pdf_parse,has_pmc_xml_parse,full_text_file,url,paper_type
11083,wi4hv57b,85d9c134bccd818e9487193754d8c71a710161d6,PMC,"Developments in Transduction, Connectivity and AI/Machine Learning for Point-of-Care Testing",10.3390/s19081917,PMC6515310,31018573.0,cc-by,"We review some emerging trends in transduction, connectivity and data analytics for Point-of-Care Testing (POCT) of infectious and non-communicable diseases. The patient need for POCT is described along with developments in portable diagnostics, specifically in respect of Lab-on-chip and microfluidic systems. We describe some novel electrochemical and photonic systems and the use of mobile phones in terms of hardware components and device connectivity for POCT. Developments in data analytics that are applicable for POCT are described with an overview of data structures and recent AI/Machine learning trends. The most important methodologies of machine learning, including deep learning methods, are summarised. The potential value of trends within POCT systems for clinical diagnostics within Lower Middle Income Countries (LMICs) and the Least Developed Countries (LDCs) are highlighted.",2019-04-23,"O’Sullivan, Shane; Ali, Zulfiqur; Jiang, Xiaoyi; Abdolvand, Reza; Ünlü, M Selim; Plácido da Silva, Hugo; Baca, Justin T.; Kim, Brian; Scott, Simon; Sajid, Mohammed Imran; Moradian, Sina; Mansoorzare, Hakhamanesh; Holzinger, Andreas",Sensors (Basel),,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6515310/,AI
11165,i1mdd56z,,PMC,Identifying Protective Health Behaviors on Twitter: Observational Study of Travel Advisories and Zika Virus,10.2196/13090,PMC6535980,31094347.0,cc-by,"BACKGROUND: An estimated 3.9 billion individuals live in a location endemic for common mosquito-borne diseases. The emergence of Zika virus in South America in 2015 marked the largest known Zika outbreak and caused hundreds of thousands of infections. Internet data have shown promise in identifying human behaviors relevant for tracking and understanding other diseases. OBJECTIVE: Using Twitter posts regarding the 2015-16 Zika virus outbreak, we sought to identify and describe considerations and self-disclosures of a specific behavior change relevant to the spread of disease—travel cancellation. If this type of behavior is identifiable in Twitter, this approach may provide an additional source of data for disease modeling. METHODS: We combined keyword filtering and machine learning classification to identify first-person reactions to Zika in 29,386 English-language tweets in the context of travel, including considerations and reports of travel cancellation. We further explored demographic, network, and linguistic characteristics of users who change their behavior compared with control groups. RESULTS: We found differences in the demographics, social networks, and linguistic patterns of 1567 individuals identified as changing or considering changing travel behavior in response to Zika as compared with a control sample of Twitter users. We found significant differences between geographic areas in the United States, significantly more discussion by women than men, and some evidence of differences in levels of exposure to Zika-related information. CONCLUSIONS: Our findings have implications for informing the ways in which public health organizations communicate with the public on social media, and the findings contribute to our understanding of the ways in which the public perceives and acts on risks of emerging infectious diseases.",2019-05-13,"Daughton, Ashlynn R; Paul, Michael J",J Med Internet Res,,,,False,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6535980/,AI
11211,bidvi76z,,PMC,Use of Big Data and Machine Learning Methods in the Monitoring and Evaluation of Digital Health Programs in India: An Exploratory Protocol,10.2196/11456,PMC6555122,31127716.0,cc-by,"BACKGROUND: Digital health programs, which encompass the subsectors of health information technology, mobile health, electronic health, telehealth, and telemedicine, have the potential to generate “big data.” OBJECTIVE: Our aim is to evaluate two digital health programs in India—the maternal mobile messaging service (Kilkari) and the mobile training resource for frontline health workers (Mobile Academy). We illustrate possible applications of machine learning for public health practitioners that can be applied to generate evidence on program effectiveness and improve implementation. Kilkari is an outbound service that delivers weekly gestational age–appropriate audio messages about pregnancy, childbirth, and childcare directly to families on their mobile phones, starting from the second trimester of pregnancy until the child is one year old. Mobile Academy is an Interactive Voice Response audio training course for accredited social health activists (ASHAs) in India. METHODS: Study participants include pregnant and postpartum women (Kilkari) as well as frontline health workers (Mobile Academy) across 13 states in India. Data elements are drawn from system-generated databases used in the routine implementation of programs to provide users with health information. We explain the structure and elements of the extracted data and the proposed process for their linkage. We then outline the various steps to be undertaken to evaluate and select final algorithms for identifying gaps in data quality, poor user performance, predictors for call receipt, user listening levels, and linkages between early listening and continued engagement. RESULTS: The project has obtained the necessary approvals for the use of data in accordance with global standards for handling personal data. The results are expected to be published in August/September 2019. CONCLUSIONS: Rigorous evaluations of digital health programs are limited, and few have included applications of machine learning. By describing the steps to be undertaken in the application of machine learning approaches to the analysis of routine system-generated data, we aim to demystify the use of machine learning not only in evaluating digital health education programs but in improving their performance. Where articles on analysis offer an explanation of the final model selected, here we aim to emphasize the process, thereby illustrating to program implementors and evaluators with limited exposure to machine learning its relevance and potential use within the context of broader program implementation and evaluation. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/11456",2019-05-24,"Mohan, Diwakar; Bashingwa, Jean Juste Harrisson; Dane, Pierre; Chamberlain, Sara; Tiffin, Nicki; Lefevre, Amnesty",JMIR Res Protoc,,,,False,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6555122/,AI
11730,6fthj1op,d0631859c5008f863d1b288755b97bb0b6dea4d6,PMC,Development of a Single Leg Knee Exoskeleton and Sensing Knee Center of Rotation Change for Intention Detection,10.3390/s19183960,PMC6767670,31540298.0,cc-by,"In this study, we developed a single leg knee joint assistance robot. Commonly used exoskeletons have a left-right pair, but when only one leg of the wearer is uncomfortable, it is effective to wear the exoskeleton on only the uncomfortable leg. The designed exoskeleton uses a lightweight material and uses a wire-driven actuator, which reduces the weight of the driving section that is attached on the knee directly. Therefore, proposed exoskeleton reduces the force of inertia that the wearer experiences. In addition, the lower frame length of the exoskeleton can be changed to align with the complex movement of the knee. Furthermore, the length between the knee center of rotation and the ankle (LBKA) is measured by using this structure, and the LBKA values are used as the data for intention detection. These value helps to detect the intention because it changes faster than a motor encoder value. A neural network was trained using the motor encoder values, and LBKA values. Neural network detects the intention of three motions (stair ascending, stair descending, and walking), Training results showed that intention detection was good in various environments.",2019-09-13,"Moon, Dae-Hoon; Kim, Donghan; Hong, Young-Dae",Sensors (Basel),,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6767670/,AI
11943,vtktgyvh,88511032b2c7ac3a42adf31909cb0c281c079922,PMC,An Exploration of Machine Learning Methods for Robust Boredom Classification Using EEG and GSR Data,10.3390/s19204561,PMC6832442,31635194.0,cc-by,"In recent years, affective computing has been actively researched to provide a higher level of emotion-awareness. Numerous studies have been conducted to detect the user’s emotions from physiological data. Among a myriad of target emotions, boredom, in particular, has been suggested to cause not only medical issues but also challenges in various facets of daily life. However, to the best of our knowledge, no previous studies have used electroencephalography (EEG) and galvanic skin response (GSR) together for boredom classification, although these data have potential features for emotion classification. To investigate the combined effect of these features on boredom classification, we collected EEG and GSR data from 28 participants using off-the-shelf sensors. During data acquisition, we used a set of stimuli comprising a video clip designed to elicit boredom and two other video clips of entertaining content. The collected samples were labeled based on the participants’ questionnaire-based testimonies on experienced boredom levels. Using the collected data, we initially trained 30 models with 19 machine learning algorithms and selected the top three candidate classifiers. After tuning the hyperparameters, we validated the final models through 1000 iterations of 10-fold cross validation to increase the robustness of the test results. Our results indicated that a Multilayer Perceptron model performed the best with a mean accuracy of 79.98% (AUC: 0.781). It also revealed the correlation between boredom and the combined features of EEG and GSR. These results can be useful for building accurate affective computing systems and understanding the physiological properties of boredom.",2019-10-20,"Seo, Jungryul; Laine, Teemu H.; Sohn, Kyung-Ah",Sensors (Basel),,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6832442/,AI
12041,wa5il5go,572e7221874d7e5d1c4ed293e60f021ba1d59367,PMC,Tissue tropism and transmission ecology predict virulence of human RNA viruses,10.1371/journal.pbio.3000206,PMC6879112,31770368.0,cc-by,"Novel infectious diseases continue to emerge within human populations. Predictive studies have begun to identify pathogen traits associated with emergence. However, emerging pathogens vary widely in virulence, a key determinant of their ultimate risk to public health. Here, we use structured literature searches to review the virulence of each of the 214 known human-infective RNA virus species. We then use a machine learning framework to determine whether viral virulence can be predicted by ecological traits, including human-to-human transmissibility, transmission routes, tissue tropisms, and host range. Using severity of clinical disease as a measurement of virulence, we identified potential risk factors using predictive classification tree and random forest ensemble models. The random forest approach predicted literature-assigned disease severity of test data with mean accuracy of 89.4% compared to a null accuracy of 74.2%. In addition to viral taxonomy, the ability to cause systemic infection was the strongest predictor of severe disease. Further notable predictors of severe disease included having neural and/or renal tropism, direct contact or respiratory transmission, and limited (0 < R(0) ≤ 1) human-to-human transmissibility. We present a novel, to our knowledge, comparative perspective on the virulence of all currently known human RNA virus species. The risk factors identified may provide novel perspectives in understanding the evolution of virulence and elucidating molecular virulence mechanisms. These risk factors could also improve planning and preparedness in public health strategies as part of a predictive framework for novel human infections.",2019-11-26,"Brierley, Liam; Pedersen, Amy B.; Woolhouse, Mark E. J.",PLoS Biol,,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6879112/,AI
12155,wo6356vq,af987eff63f3d7ee36dc7631807d9aac7c165d2d,PMC,Prediction of novel mouse TLR9 agonists using a random forest approach,10.1186/s12860-019-0241-0,PMC6924143,31856726.0,cc-by,"BACKGROUND: Toll-like receptor 9 is a key innate immune receptor involved in detecting infectious diseases and cancer. TLR9 activates the innate immune system following the recognition of single-stranded DNA oligonucleotides (ODN) containing unmethylated cytosine-guanine (CpG) motifs. Due to the considerable number of rotatable bonds in ODNs, high-throughput in silico screening for potential TLR9 activity via traditional structure-based virtual screening approaches of CpG ODNs is challenging. In the current study, we present a machine learning based method for predicting novel mouse TLR9 (mTLR9) agonists based on features including count and position of motifs, the distance between the motifs and graphically derived features such as the radius of gyration and moment of Inertia. We employed an in-house experimentally validated dataset of 396 single-stranded synthetic ODNs, to compare the results of five machine learning algorithms. Since the dataset was highly imbalanced, we used an ensemble learning approach based on repeated random down-sampling. RESULTS: Using in-house experimental TLR9 activity data we found that random forest algorithm outperformed other algorithms for our dataset for TLR9 activity prediction. Therefore, we developed a cross-validated ensemble classifier of 20 random forest models. The average Matthews correlation coefficient and balanced accuracy of our ensemble classifier in test samples was 0.61 and 80.0%, respectively, with the maximum balanced accuracy and Matthews correlation coefficient of 87.0% and 0.75, respectively. We confirmed common sequence motifs including ‘CC’, ‘GG’,‘AG’, ‘CCCG’ and ‘CGGC’ were overrepresented in mTLR9 agonists. Predictions on 6000 randomly generated ODNs were ranked and the top 100 ODNs were synthesized and experimentally tested for activity in a mTLR9 reporter cell assay, with 91 of the 100 selected ODNs showing high activity, confirming the accuracy of the model in predicting mTLR9 activity. CONCLUSION: We combined repeated random down-sampling with random forest to overcome the class imbalance problem and achieved promising results. Overall, we showed that the random forest algorithm outperformed other machine learning algorithms including support vector machines, shrinkage discriminant analysis, gradient boosting machine and neural networks. Due to its predictive performance and simplicity, the random forest technique is a useful method for prediction of mTLR9 ODN agonists.",2019-12-20,"Khanna, Varun; Li, Lei; Fung, Johnson; Ranganathan, Shoba; Petrovsky, Nikolai",BMC Mol Cell Biol,,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6924143/,AI
12209,gex0zvoa,d6d7306eb3f303f7461ab6cab965ef0c5d179719,PMC,Risk perception and behavioral change during epidemics: Comparing models of individual and collective learning,10.1371/journal.pone.0226483,PMC6944362,31905206.0,cc-by,"Modern societies are exposed to a myriad of risks ranging from disease to natural hazards and technological disruptions. Exploring how the awareness of risk spreads and how it triggers a diffusion of coping strategies is prominent in the research agenda of various domains. It requires a deep understanding of how individuals perceive risks and communicate about the effectiveness of protective measures, highlighting learning and social interaction as the core mechanisms driving such processes. Methodological approaches that range from purely physics-based diffusion models to data-driven environmental methods rely on agent-based modeling to accommodate context-dependent learning and social interactions in a diffusion process. Mixing agent-based modeling with data-driven machine learning has become popularity. However, little attention has been paid to the role of intelligent learning in risk appraisal and protective decisions, whether used in an individual or a collective process. The differences between collective learning and individual learning have not been sufficiently explored in diffusion modeling in general and in agent-based models of socio-environmental systems in particular. To address this research gap, we explored the implications of intelligent learning on the gradient from individual to collective learning, using an agent-based model enhanced by machine learning. Our simulation experiments showed that individual intelligent judgement about risks and the selection of coping strategies by groups with majority votes were outperformed by leader-based groups and even individuals deciding alone. Social interactions appeared essential for both individual learning and group learning. The choice of how to represent social learning in an agent-based model could be driven by existing cultural and social norms prevalent in a modeled society.",2020-01-06,"Abdulkareem, Shaheen A.; Augustijn, Ellen-Wien; Filatova, Tatiana; Musial, Katarzyna; Mustafa, Yaseen T.",PLoS One,,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6944362/,AI
12439,graro54x,9e8410e170ac72b3ccb909c2807403fc777fdf4c; 30b4f6254119ea425c5370fe40f3def0500fa359,PMC,Integration of shared-pathogen networks and machine learning reveals the key aspects of zoonoses and predicts mammalian reservoirs,10.1098/rspb.2019.2882,PMC7031665,32019444.0,cc-by,"Diseases that spread to humans from animals, zoonoses, pose major threats to human health. Identifying animal reservoirs of zoonoses and predicting future outbreaks are increasingly important to human health and well-being and economic stability, particularly where research and resources are limited. Here, we integrate complex networks and machine learning approaches to develop a new approach to identifying reservoirs. An exhaustive dataset of mammal–pathogen interactions was transformed into networks where hosts are linked via their shared pathogens. We present a methodology for identifying important and influential hosts in these networks. Ensemble models linking network characteristics with phylogeny and life-history traits are then employed to predict those key hosts and quantify the roles they undertake in pathogen transmission. Our models reveal drivers explaining host importance and demonstrate how these drivers vary by pathogen taxa. Host importance is further integrated into ensemble models to predict reservoirs of zoonoses of various pathogen taxa and quantify the extent of pathogen sharing between humans and mammals. We establish predictors of reservoirs of zoonoses, showcasing host influence to be a key factor in determining these reservoirs. Finally, we provide new insight into the determinants of zoonosis-sharing, and contrast these determinants across major pathogen taxa.",2020-02-12,"Wardeh, Maya; Sharkey, Kieran J.; Baylis, Matthew",Proc Biol Sci,,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7031665/,AI
12540,tk3861u0,40f8166324b40954ba214d2108ef51b0fb7d756f,PMC,Prediction of fatal adverse prognosis in patients with fever-related diseases based on machine learning: A retrospective study,10.1097/cm9.0000000000000675,PMC7065855,32044816.0,cc-by-nc-nd,"BACKGROUND: Fever is the most common chief complaint of emergency patients. Early identification of patients at an increasing risk of death may avert adverse outcomes. The aim of this study was to establish an early prediction model of fatal adverse prognosis of fever patients by extracting key indicators using big data technology. METHODS: A retrospective study of patients’ data was conducted using the Emergency Rescue Database of Chinese People's Liberation Army General Hospital. Patients were divided into the fatal adverse prognosis group and the good prognosis group. The commonly used clinical indicators were compared. Recursive feature elimination (RFE) method was used to determine the optimal number of the included variables. In the training model, logistic regression, random forest, adaboost and bagging were selected. We also collected the emergency room data from December 2018 to December 2019 with the same inclusion and exclusion criterion. The performance of the model was evaluated by accuracy, F1-score, precision, sensitivity and the areas under receiver operator characteristic curves (ROC-AUC). RESULTS: The accuracy of logistic regression, decision tree, adaboost and bagging was 0.951, 0.928, 0.924, and 0.924, F1-scores were 0.938, 0.933, 0.930, and 0.930, the precision was 0.943, 0.938, 0.937, and 0.937, ROC-AUC were 0.808, 0.738, 0.736, and 0.885, respectively. ROC-AUC of ten-fold cross-validation in logistic and bagging models were 0.80 and 0.87, respectively. The top six coefficients and odds ratio (OR) values of the variables in the Logistic regression were cardiac troponin T (CTnT) (coefficient=0.346, OR = 1.413), temperature (T) (coefficient=0.235, OR = 1.265), respiratory rate (RR) (coefficient= –0.206,OR = 0.814), serum kalium (K) (coefficient=0.137, OR = 1.146), pulse oxygen saturation (SPO(2)) (coefficient= –0.101, OR = 0.904), and albumin (ALB) (coefficient= –0.043, OR = 0.958). The weights of the top six variables in the bagging model were: CTnT, RR, lactate dehydrogenase, serum amylase, heartrate, and systolic blood pressure. CONCLUSIONS: The main clinical indicators of concern included CTnT, RR, SPO(2), T, ALB and K. The bagging model and logistic regression model had better diagnostic performance comprehesively. Those may be conducive to the early identification of critical patients with fever by physicians.",2020-03-05,"Zhao, Chun-Hong; Wu, Hui-Tao; Che, He-Bin; Song, Ya-Nan; Zhao, Yu-Zhuo; Li, Kai-Yuan; Xiao, Hong-Ju; Zhai, Yong-Zhi; Liu, Xin; Lu, Hong-Xi; Li, Tan-Shi",Chin Med J (Engl),,,,True,True,noncomm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7065855/,AI
