,id,sha,source,title,doi,pmcid,pubmed_id,license,summary,published,author,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,medrxiv,arxiv,biorxiv,paper_type
3880,i1mdd56z,,pmc,Identifying Protective Health Behaviors on Twitter: Observational Study of Travel Advisories and Zika Virus,10.2196/13090,PMC6535980,31094347,cc-by,"BACKGROUND: An estimated 3.9 billion individuals live in a location endemic for common mosquito-borne diseases. The emergence of Zika virus in South America in 2015 marked the largest known Zika outbreak and caused hundreds of thousands of infections. Internet data have shown promise in identifying human behaviors relevant for tracking and understanding other diseases. OBJECTIVE: Using Twitter posts regarding the 2015-16 Zika virus outbreak, we sought to identify and describe considerations and self-disclosures of a specific behavior change relevant to the spread of disease—travel cancellation. If this type of behavior is identifiable in Twitter, this approach may provide an additional source of data for disease modeling. METHODS: We combined keyword filtering and machine learning classification to identify first-person reactions to Zika in 29,386 English-language tweets in the context of travel, including considerations and reports of travel cancellation. We further explored demographic, network, and linguistic characteristics of users who change their behavior compared with control groups. RESULTS: We found differences in the demographics, social networks, and linguistic patterns of 1567 individuals identified as changing or considering changing travel behavior in response to Zika as compared with a control sample of Twitter users. We found significant differences between geographic areas in the United States, significantly more discussion by women than men, and some evidence of differences in levels of exposure to Zika-related information. CONCLUSIONS: Our findings have implications for informing the ways in which public health organizations communicate with the public on social media, and the findings contribute to our understanding of the ways in which the public perceives and acts on risks of emerging infectious diseases.",2019-05-13,"Daughton, Ashlynn R; Paul, Michael J",J Med Internet Res,,,,,document_parses/pmc_json/PMC6535980.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6535980/,,False,False,False,AI
3897,bidvi76z,,pmc,Use of Big Data and Machine Learning Methods in the Monitoring and Evaluation of Digital Health Programs in India: An Exploratory Protocol,10.2196/11456,PMC6555122,31127716,cc-by,"BACKGROUND: Digital health programs, which encompass the subsectors of health information technology, mobile health, electronic health, telehealth, and telemedicine, have the potential to generate “big data.” OBJECTIVE: Our aim is to evaluate two digital health programs in India—the maternal mobile messaging service (Kilkari) and the mobile training resource for frontline health workers (Mobile Academy). We illustrate possible applications of machine learning for public health practitioners that can be applied to generate evidence on program effectiveness and improve implementation. Kilkari is an outbound service that delivers weekly gestational age–appropriate audio messages about pregnancy, childbirth, and childcare directly to families on their mobile phones, starting from the second trimester of pregnancy until the child is one year old. Mobile Academy is an Interactive Voice Response audio training course for accredited social health activists (ASHAs) in India. METHODS: Study participants include pregnant and postpartum women (Kilkari) as well as frontline health workers (Mobile Academy) across 13 states in India. Data elements are drawn from system-generated databases used in the routine implementation of programs to provide users with health information. We explain the structure and elements of the extracted data and the proposed process for their linkage. We then outline the various steps to be undertaken to evaluate and select final algorithms for identifying gaps in data quality, poor user performance, predictors for call receipt, user listening levels, and linkages between early listening and continued engagement. RESULTS: The project has obtained the necessary approvals for the use of data in accordance with global standards for handling personal data. The results are expected to be published in August/September 2019. CONCLUSIONS: Rigorous evaluations of digital health programs are limited, and few have included applications of machine learning. By describing the steps to be undertaken in the application of machine learning approaches to the analysis of routine system-generated data, we aim to demystify the use of machine learning not only in evaluating digital health education programs but in improving their performance. Where articles on analysis offer an explanation of the final model selected, here we aim to emphasize the process, thereby illustrating to program implementors and evaluators with limited exposure to machine learning its relevance and potential use within the context of broader program implementation and evaluation. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/11456",2019-05-24,"Mohan, Diwakar; Bashingwa, Jean Juste Harrisson; Dane, Pierre; Chamberlain, Sara; Tiffin, Nicki; Lefevre, Amnesty",JMIR Res Protoc,,,,,document_parses/pmc_json/PMC6555122.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6555122/,,False,False,False,AI
4107,6fthj1op,d0631859c5008f863d1b288755b97bb0b6dea4d6,pmc,Development of a Single Leg Knee Exoskeleton and Sensing Knee Center of Rotation Change for Intention Detection,10.3390/s19183960,PMC6767670,31540298,cc-by,"In this study, we developed a single leg knee joint assistance robot. Commonly used exoskeletons have a left-right pair, but when only one leg of the wearer is uncomfortable, it is effective to wear the exoskeleton on only the uncomfortable leg. The designed exoskeleton uses a lightweight material and uses a wire-driven actuator, which reduces the weight of the driving section that is attached on the knee directly. Therefore, proposed exoskeleton reduces the force of inertia that the wearer experiences. In addition, the lower frame length of the exoskeleton can be changed to align with the complex movement of the knee. Furthermore, the length between the knee center of rotation and the ankle (LBKA) is measured by using this structure, and the LBKA values are used as the data for intention detection. These value helps to detect the intention because it changes faster than a motor encoder value. A neural network was trained using the motor encoder values, and LBKA values. Neural network detects the intention of three motions (stair ascending, stair descending, and walking), Training results showed that intention detection was good in various environments.",2019-09-13,"Moon, Dae-Hoon; Kim, Donghan; Hong, Young-Dae",Sensors (Basel),,,,document_parses/pdf_json/d0631859c5008f863d1b288755b97bb0b6dea4d6.json,document_parses/pmc_json/PMC6767670.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6767670/,,False,False,False,AI
4180,vtktgyvh,88511032b2c7ac3a42adf31909cb0c281c079922,pmc,An Exploration of Machine Learning Methods for Robust Boredom Classification Using EEG and GSR Data,10.3390/s19204561,PMC6832442,31635194,cc-by,"In recent years, affective computing has been actively researched to provide a higher level of emotion-awareness. Numerous studies have been conducted to detect the user’s emotions from physiological data. Among a myriad of target emotions, boredom, in particular, has been suggested to cause not only medical issues but also challenges in various facets of daily life. However, to the best of our knowledge, no previous studies have used electroencephalography (EEG) and galvanic skin response (GSR) together for boredom classification, although these data have potential features for emotion classification. To investigate the combined effect of these features on boredom classification, we collected EEG and GSR data from 28 participants using off-the-shelf sensors. During data acquisition, we used a set of stimuli comprising a video clip designed to elicit boredom and two other video clips of entertaining content. The collected samples were labeled based on the participants’ questionnaire-based testimonies on experienced boredom levels. Using the collected data, we initially trained 30 models with 19 machine learning algorithms and selected the top three candidate classifiers. After tuning the hyperparameters, we validated the final models through 1000 iterations of 10-fold cross validation to increase the robustness of the test results. Our results indicated that a Multilayer Perceptron model performed the best with a mean accuracy of 79.98% (AUC: 0.781). It also revealed the correlation between boredom and the combined features of EEG and GSR. These results can be useful for building accurate affective computing systems and understanding the physiological properties of boredom.",2019-10-20,"Seo, Jungryul; Laine, Teemu H.; Sohn, Kyung-Ah",Sensors (Basel),,,,document_parses/pdf_json/88511032b2c7ac3a42adf31909cb0c281c079922.json,document_parses/pmc_json/PMC6832442.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6832442/,,False,False,False,AI
4307,gex0zvoa,d6d7306eb3f303f7461ab6cab965ef0c5d179719,pmc,Risk perception and behavioral change during epidemics: Comparing models of individual and collective learning,10.1371/journal.pone.0226483,PMC6944362,31905206,cc-by,"Modern societies are exposed to a myriad of risks ranging from disease to natural hazards and technological disruptions. Exploring how the awareness of risk spreads and how it triggers a diffusion of coping strategies is prominent in the research agenda of various domains. It requires a deep understanding of how individuals perceive risks and communicate about the effectiveness of protective measures, highlighting learning and social interaction as the core mechanisms driving such processes. Methodological approaches that range from purely physics-based diffusion models to data-driven environmental methods rely on agent-based modeling to accommodate context-dependent learning and social interactions in a diffusion process. Mixing agent-based modeling with data-driven machine learning has become popularity. However, little attention has been paid to the role of intelligent learning in risk appraisal and protective decisions, whether used in an individual or a collective process. The differences between collective learning and individual learning have not been sufficiently explored in diffusion modeling in general and in agent-based models of socio-environmental systems in particular. To address this research gap, we explored the implications of intelligent learning on the gradient from individual to collective learning, using an agent-based model enhanced by machine learning. Our simulation experiments showed that individual intelligent judgement about risks and the selection of coping strategies by groups with majority votes were outperformed by leader-based groups and even individuals deciding alone. Social interactions appeared essential for both individual learning and group learning. The choice of how to represent social learning in an agent-based model could be driven by existing cultural and social norms prevalent in a modeled society.",2020-01-06,"Abdulkareem, Shaheen A.; Augustijn, Ellen-Wien; Filatova, Tatiana; Musial, Katarzyna; Mustafa, Yaseen T.",PLoS One,,,,document_parses/pdf_json/d6d7306eb3f303f7461ab6cab965ef0c5d179719.json,document_parses/pmc_json/PMC6944362.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6944362/,,False,False,False,AI
4500,tmrete2r,9968d7fb8ddbf432dcbfd1ab10df8211bee4b3ac,pmc,The impact of artificial intelligence in the diagnosis and management of glaucoma,10.1038/s41433-019-0577-x,PMC7002653,31541215,no-cc,"Deep learning (DL) is a subset of artificial intelligence (AI), which uses multilayer neural networks modelled after the mammalian visual cortex capable of synthesizing images in ways that will transform the field of glaucoma. Autonomous DL algorithms are capable of maximizing information embedded in digital fundus photographs and ocular coherence tomographs to outperform ophthalmologists in disease detection. Other unsupervised algorithms such as principal component analysis (axis learning) and archetypal analysis (corner learning) facilitate visual field interpretation and show great promise to detect functional glaucoma progression and differentiate it from non-glaucomatous changes when compared with conventional software packages. Forecasting tools such as the Kalman filter may revolutionize glaucoma management by accounting for a host of factors to set target intraocular pressure goals that preserve vision. Activation maps generated from DL algorithms that process glaucoma data have the potential to efficiently direct our attention to critical data elements embedded in high throughput data and enhance our understanding of the glaucomatous process. It is hoped that AI will realize more accurate assessment of the copious data encountered in glaucoma management, improving our understanding of the disease, preserving vision, and serving to enhance the deep bonds that patients develop with their treating physicians.",2019-09-20,"Mayro, Eileen L.; Wang, Mengyu; Elze, Tobias; Pasquale, Louis R.",Eye (Lond),,,,document_parses/pdf_json/9968d7fb8ddbf432dcbfd1ab10df8211bee4b3ac.json,document_parses/pmc_json/PMC7002653.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7002653/,,False,False,False,AI
4513,rv1b5k3t,38c23e7026f0b2eec2595bc71c47329e5f3c0897,pmc,Diagnosis of ventilator-associated pneumonia using electronic nose sensor array signals: solutions to improve the application of machine learning in respiratory research,10.1186/s12931-020-1285-6,PMC7006122,32033607,cc-by,"BACKGROUND: Ventilator-associated pneumonia (VAP) is a significant cause of mortality in the intensive care unit. Early diagnosis of VAP is important to provide appropriate treatment and reduce mortality. Developing a noninvasive and highly accurate diagnostic method is important. The invention of electronic sensors has been applied to analyze the volatile organic compounds in breath to detect VAP using a machine learning technique. However, the process of building an algorithm is usually unclear and prevents physicians from applying the artificial intelligence technique in clinical practice. Clear processes of model building and assessing accuracy are warranted. The objective of this study was to develop a breath test for VAP with a standardized protocol for a machine learning technique. METHODS: We conducted a case-control study. This study enrolled subjects in an intensive care unit of a hospital in southern Taiwan from February 2017 to June 2019. We recruited patients with VAP as the case group and ventilated patients without pneumonia as the control group. We collected exhaled breath and analyzed the electric resistance changes of 32 sensor arrays of an electronic nose. We split the data into a set for training algorithms and a set for testing. We applied eight machine learning algorithms to build prediction models, improving model performance and providing an estimated diagnostic accuracy. RESULTS: A total of 33 cases and 26 controls were used in the final analysis. Using eight machine learning algorithms, the mean accuracy in the testing set was 0.81 ± 0.04, the sensitivity was 0.79 ± 0.08, the specificity was 0.83 ± 0.00, the positive predictive value was 0.85 ± 0.02, the negative predictive value was 0.77 ± 0.06, and the area under the receiver operator characteristic curves was 0.85 ± 0.04. The mean kappa value in the testing set was 0.62 ± 0.08, which suggested good agreement. CONCLUSIONS: There was good accuracy in detecting VAP by sensor array and machine learning techniques. Artificial intelligence has the potential to assist the physician in making a clinical diagnosis. Clear protocols for data processing and the modeling procedure needed to increase generalizability.",2020-02-07,"Chen, Chung-Yu; Lin, Wei-Chi; Yang, Hsiao-Yu",Respir Res,,,,document_parses/pdf_json/38c23e7026f0b2eec2595bc71c47329e5f3c0897.json,document_parses/pmc_json/PMC7006122.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7006122/,,False,False,False,AI
4515,mih7vm66,fa24465379ed32b729a3255de6ff3a7cf3cfbb52,pmc,Machine learning algorithm to predict mortality in patients undergoing continuous renal replacement therapy,10.1186/s13054-020-2752-7,PMC7006166,32028984,cc-by,"BACKGROUND: Previous scoring models such as the Acute Physiologic Assessment and Chronic Health Evaluation II (APACHE II) and the Sequential Organ Failure Assessment (SOFA) scoring systems do not adequately predict mortality of patients undergoing continuous renal replacement therapy (CRRT) for severe acute kidney injury. Accordingly, the present study applies machine learning algorithms to improve prediction accuracy for this patient subset. METHODS: We randomly divided a total of 1571 adult patients who started CRRT for acute kidney injury into training (70%, n = 1094) and test (30%, n = 477) sets. The primary output consisted of the probability of mortality during admission to the intensive care unit (ICU) or hospital. We compared the area under the receiver operating characteristic curves (AUCs) of several machine learning algorithms with that of the APACHE II, SOFA, and the new abbreviated mortality scoring system for acute kidney injury with CRRT (MOSAIC model) results. RESULTS: For the ICU mortality, the random forest model showed the highest AUC (0.784 [0.744–0.825]), and the artificial neural network and extreme gradient boost models demonstrated the next best results (0.776 [0.735–0.818]). The AUC of the random forest model was higher than 0.611 (0.583–0.640), 0.677 (0.651–0.703), and 0.722 (0.677–0.767), as achieved by APACHE II, SOFA, and MOSAIC, respectively. The machine learning models also predicted in-hospital mortality better than APACHE II, SOFA, and MOSAIC. CONCLUSION: Machine learning algorithms increase the accuracy of mortality prediction for patients undergoing CRRT for acute kidney injury compared with previous scoring models.",2020-02-06,"Kang, Min Woo; Kim, Jayoun; Kim, Dong Ki; Oh, Kook-Hwan; Joo, Kwon Wook; Kim, Yon Su; Han, Seung Seok",Crit Care,,,,document_parses/pdf_json/fa24465379ed32b729a3255de6ff3a7cf3cfbb52.json,document_parses/pmc_json/PMC7006166.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7006166/,,False,False,False,AI
4613,erqmbi2b,41404655b3baecaaeae88faa63966860dd99706e,pmc,Computational MHC-I epitope predictor identifies 95% of experimentally mapped HIV-1 clade A and D epitopes in a Ugandan cohort,10.1186/s12879-020-4876-4,PMC7036183,32087680,cc-by,"BACKGROUND: Identifying immunogens that induce HIV-1-specific immune responses is a lengthy process that can benefit from computational methods, which predict T-cell epitopes for various HLA types. METHODS: We tested the performance of the NetMHCpan4.0 computational neural network in re-identifying 93 T-cell epitopes that had been previously independently mapped using the whole proteome IFN-γ ELISPOT assays in 6 HLA class I typed Ugandan individuals infected with HIV-1 subtypes A1 and D. To provide a benchmark we compared the predictions for NetMHCpan4.0 to MHCflurry1.2.0 and NetCTL1.2. RESULTS: NetMHCpan4.0 performed best correctly predicting 88 of the 93 experimentally mapped epitopes for a set length of 9-mer and matched HLA class I alleles. Receiver Operator Characteristic (ROC) analysis gave an area under the curve (AUC) of 0.928. Setting NetMHCpan4.0 to predict 11-14mer length did not improve the prediction (37–79 of 93 peptides) with an inverse correlation between the number of predictions and length set. Late time point peptides were significantly stronger binders than early peptides (Wilcoxon signed rank test: p = 0.0000005). MHCflurry1.2.0 similarly predicted all but 2 of the peptides that NetMHCpan4.0 predicted and NetCTL1.2 predicted only 14 of the 93 experimental peptides. CONCLUSION: NetMHCpan4.0 class I epitope predictions covered 95% of the epitope responses identified in six HIV-1 infected individuals, and would have reduced the number of experimental confirmatory tests by > 80%. Algorithmic epitope prediction in conjunction with HLA allele frequency information can cost-effectively assist immunogen design through minimizing the experimental effort.",2020-02-22,"Bugembe, Daniel Lule; Ekii, Andrew Obuku; Ndembi, Nicaise; Serwanga, Jennifer; Kaleebu, Pontiano; Pala, Pietro",BMC Infect Dis,,,,document_parses/pdf_json/41404655b3baecaaeae88faa63966860dd99706e.json,document_parses/pmc_json/PMC7036183.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7036183/,,False,False,False,AI
4682,nml9kqiu,175afc9644b1d69ff9a96342c91ae194efea5406,pmc,Predicting the microbial cause of community-acquired pneumonia: can physicians or a data-driven method differentiate viral from bacterial pneumonia at patient presentation?,10.1186/s12890-020-1089-y,PMC7060632,32143620,cc-by,"BACKGROUND: Community-acquired pneumonia (CAP) requires urgent and specific antimicrobial therapy. However, the causal pathogen is typically unknown at the point when anti-infective therapeutics must be initiated. Physicians synthesize information from diverse data streams to make appropriate decisions. Artificial intelligence (AI) excels at finding complex relationships in large volumes of data. We aimed to evaluate the abilities of experienced physicians and AI to answer this question at patient admission: is it a viral or a bacterial pneumonia? METHODS: We included patients hospitalized for CAP and recorded all data available in the first 3-h period of care (clinical, biological and radiological information). For this proof-of-concept investigation, we decided to study only CAP caused by a singular and identified pathogen. We built a machine learning model prediction using all collected data. Finally, an independent validation set of samples was used to test the pathogen prediction performance of: (i) a panel of three experts and (ii) the AI algorithm. Both were blinded regarding the final microbial diagnosis. Positive likelihood ratio (LR) values > 10 and negative LR values < 0.1 were considered clinically relevant. RESULTS: We included 153 patients with CAP (70.6% men; 62 [51–73] years old; mean SAPSII, 37 [27–47]), 37% had viral pneumonia, 24% had bacterial pneumonia, 20% had a co-infection and 19% had no identified respiratory pathogen. We performed the analysis on 93 patients as co-pathogen and no-pathogen cases were excluded. The discriminant abilities of the AI approach were low to moderate (LR+ = 2.12 for viral and 6.29 for bacterial pneumonia), and the discriminant abilities of the experts were very low to low (LR+ = 3.81 for viral and 1.89 for bacterial pneumonia). CONCLUSION: Neither experts nor an AI algorithm can predict the microbial etiology of CAP within the first hours of hospitalization when there is an urgent need to define the anti-infective therapeutic strategy.",2020-03-06,"Lhommet, Claire; Garot, Denis; Grammatico-Guillon, Leslie; Jourdannaud, Cassandra; Asfar, Pierre; Faisy, Christophe; Muller, Grégoire; Barker, Kimberly A.; Mercier, Emmanuelle; Robert, Sylvie; Lanotte, Philippe; Goudeau, Alain; Blasco, Helene; Guillon, Antoine",BMC Pulm Med,,,,document_parses/pdf_json/175afc9644b1d69ff9a96342c91ae194efea5406.json,document_parses/pmc_json/PMC7060632.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7060632/,,False,False,False,AI
